user_tweet,,
"@SamsungIndia I am trying to order a TV on the Samsung store. I am getting this error message ""Soft Allocation failed in Fulfillment service"". How to proceed?",,
@SamsungIndia @SamsungMobile pathetic product...m30s mobile.... within 5 months it got hanged on samsung logo...now those service people r saying hardware issues...I m really surprised about such a cheap quality of Samsung,,
@SamsungIndia @SamsungMobile atleast hv the courtesy to revert back. This issue is still open with new ticket number (1669373). How can you cheat people by selling products promising exchange and then after they make payment refuse exchange. I hv a bill m,,
@SamsungIndia  u don’t have cancellation/return policy ? R u serious ? So even if customers don’t like ur products they have to use it as they paid money. I want to return my galaxy buds+ as the quality is very poor @Samsung,,
"@SamsungIndia , can please provide launch year of washing machine Ww65r20glsw/tl",,
@SamsungIndia - Placed online order through a month back for Galaxy Note10Lite. Recd a dead phone. Returned the phone with DOA certificate a week back. Made numerous call &amp; sent mails to get an update on replacement. Please return my money if you don�,,
@SamsungIndia i have booked a service request number 4307283898 today morning but till now request pending.due to my job profile i dont have too much time in same city.plz take care this issue and resolve it ASAP,,
@SamsungIndia galaxy m31s  6gb and 64gb variant launch or not.,,
@SamsungIndia service is poor,,
"It's been hardly a year buying samsung premium phone and it has given me issues twice.When the whole world is dealing with pandemic &amp; the co. Is not providing services considering COVID is not acceptable
Really disappointing &amp; worst phone ever.@SamsungIndia @SamsungMobile",,
Very poor customer service @SamsungMobile @SamsungIndia waiting for the last 2 hours at customer service center sec15 gurgaon and still no hope for next 2 hour.,,
"@SamsungIndia @SamsungMobile प्रिय सैमसंग
मैंने सैमसंग a51 18-02-2020 को खरीदा था जो आज से लगभग एक महीना पहले खराब हो गया था ज�",,
@SamsungIndia when is M31S with 8 GB RAM expected?,,
@SamsungIndia kindly look in this matter write now I am at service center https://t.co/DFX28WpW90,,
"@SamsungIndia 
What is wrong with your customer service?  I need you help. Contact me ASAP.
If my mobile have warranty why they we not reparing my mobile.
I gave my mobile 2 days ago and today they register my record at their server.
What they are doing? ",,
@SamsungIndia दस बारह हजार के अंदर नया सैमसंग स्मार्टफोन??,,
@SamsungIndia Hi I am trying to buy TV from your site but my payment is not getting processed. Please help,,
"@SamsungIndia @Samsung I have been chasing Samsung for washing machine service, even after service ticket no one is helping us out. Last time Samsung guy came and took 3500 hundred rupees to sale his product but washing machine still not operational @jago",,
@SamsungIndia i am not getting updates in my galaxy watch active 2 SM-R830 even though officially on website it is shown that updates have been pushed. I haven't recieved last 2 updates from past 6 months. Kindly look into the matter.,,
Hey @SamsungIndia can you confirm if samsung independence day sale 2020 is running only on store or it will be available on samsung online store also?,,
Hey @SamsungMobile @SamsungIndia Would u help me with ' Does M31s have knox security? ' or else just ignore this tweet as ur customer service did? https://t.co/h0nlFuZPYc,,
"@SamsungIndia dear team I purchased buds 6 month back and suddenly left buds stopped working tried all possible to connect Samsung service but failed please guide me 
Pravin
9892600755",,
"Bought @SamsungIndia 50 INCH LED TV Series 7 from @cromaretail in March 2020. In just 4 months half screen of my tv went black. This is the 2nd time I am facing issue with product I bought from #Croma
@VijaySales 
@Sony
@Samsung
@SamsungUS https://t.co/hM8ttz5KMu",,
"@SamsungIndia  samsung a 21s not so good phone automatically switched off after one hour 
I bought before 1 months and problem start from purchase 
Sellar and service center both telling me your company problem .
this company already rubbish company",,
"@SamsungIndia @SamsungMobile after a update i received on 23 July in my #samsungnote9 the display is creating a issue,its discoloration or what ever. Whats the sense to buy a highend #samsungmobile there are lot of complaints i seen online for the same. K",,
"@SamsungIndia @Samsung Fridge(Model No RT33FARZASP/TL) is having issues since last 1.5 months and all we have received is #badcustomerservice #nosolution #timewaste #moneywaste
Latest complaint no is 4307203348 as I have 7 of them because complaints were ",,
@SamsungIndia @cromaretail though I have new TV watching shows on my old TV due to defective product https://t.co/UOHeld1lIt,,
@SamsungIndia You are one of the worst company in the world as far as washing machine is concerned. Service request no. 4306179113 of mine is pending for ages. No one provides proper response regarding solution of my problem. I do not understand in what w,,
@SamsungIndia I wanted to lodge a service request regarding msldunctioning of Ky refrigerator which is not functioning properly .Kindly help,,
@SamsungIndia Engineer visited for the complaint-4307212956 but due to unavailability of any parts he unable to troubleshoot the issue today and ask me to wait for 7 days at least. Kindly show your commitment and promptness.,,
"@SamsungIndia 
 Worse experience with A20s, now I am having problem, I am unable to change brightness level, it is fixed and when screen locks it's LED is not being Off, even when phone is powered off.
I restarted many times.☹️☹️😞😞😩😩
D",,
@SamsungIndia Hi Samsung I have complaint for my refrigerator on 03/08/20 but till now no response on your side,,
@SamsungIndia Sir samsung service center gorakhpur ke staf ka behaviour achha nhi hai maine A50s diya tha banane ke liye 2sri bar de chuka hu tb bhi 15 din me diya tha wapas bna ke lekin kuch hua nhj abhi bhi dobara diya hai 10 din ho gya koi reply mhi di,,
"@SamsungIndia I am very badly unhappy with SAMSUNG handset...
Too worst and very experiences in Past And also facing in Now Days...
Please Don't Buy Samsung Phones.",,
"@SamsungMobile @SamsungIndia You are claiming 6000mah battery with very fast charging option for M31 mobile, but I am not seeing the same for my newly bought M31. Charging is slow 100 min for 50% charging and battery draining very fast.",,
"@SamsungMobile @SamsungIndia @SamsungSupport my galaxy A30 new mobile started blinking. 
One of my friend shared the same problem.
And he says this is common on thos series @zainumaloor",,
Today had the worst experience ever in getting my complaint resolved thanks to @SamsungMobile @SamsungIndia. Was kept on hold for more than 30 mins and yet no resolution,,
@SamsungIndia This Dewali i buy Samsung washing machine sure . My favourite Brand ❤ Samsung.,,
@SamsungIndia Samsung Always Best Brand in the World..! ❤❤,,
@SamsungIndia Love you Samsung,,
@SamsungIndia Where is the link ?,,
@SamsungIndia Booked at 12 AM. 8+128 Variant. Black Mirage.,,
@SamsungIndia I want samsung A50.,,
@SamsungIndia Worst Seevice. Hoskote ASM not even helping. Display broken. Service center said will give coupon.  Till date not received it's been 45 day. When I called ASM Ramesh he is not even pick and bother the call. Very bad service. I suggest not to,,
@SamsungIndia Love you always Samsung brand,,
@SamsungIndia Wow........Next Level Smartphones,,
@SamsungIndia Love you always Samsung brand,,
@SamsungIndia Love you always Samsung brand,,
@SamsungIndia Samsung is best product,,
@SamsungIndia I'll always pick Samsung over any other smartphone out there 😌😌,,
@SamsungIndia Love it samsung note. ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,
@SamsungIndia Samsang j 7 prime. Software 9 update aayga ya nahi,,
"@SamsungIndia Note user for past 8 years. 2 to 10+ now. Most reliable and a pleasure to use. But.
After last s/w update, phone has frozen about 10 times. And during one such episode, saw this screen! Please highlight to your team and fix. https://t.co/9W",,
@SamsungIndia It's really awesome phone 💖💖💖,,
"@SamsungIndia Only Giving Multiple Camera &amp; New Look Doesn't mean that phone is Flagship. Please Use Your Hardware To The Upgraded Level. In 1 year, flagships start hanging. 
After Sale Service In A'bad is totally Zero. Sorry To Say. I have faced iss",,
@SamsungIndia I love Samsung 💜💜💜,,
@SamsungIndia Samsung is always the best.,,
@SamsungIndia Omg samsung is always the best.,,
@SamsungIndia Goods..the king of smart phone,,
"@SamsungIndia Haven't uesd any other product except @Samsung! Let it be mobile phones, or my Smart TV, or my refrigerator, or even my washing machine... its all SAMSUNG!",,
"@SamsungIndia Samsung Galaxy 😍😍😍😍😍
Is the best galaxy in universe",,
@SamsungIndia @SamsungMobile I have placed an online order for Galaxy 20+ and it was supposed to get delivered one month before.I haven’t received the product till now and when I raise a complaint they close the ticket after sending the tracking link:Wo,,
@SamsungIndia I bought Samsung Tab S6 lite two weeks ago from official website. It hangs a lot many apps dont run after rotate.80% of the apps are not optimized for it. No extra tips provided in two weeks tip is about to break.Can i return it? Or provide ,,
"@SamsungIndia I bought SamsungM30s 8 months back and while charging, it's showing some sparkling and after that display is not working. Your service center team telling me it will not come with a warrantly and giving some odd reason for this screen issue.",,
@Samsung terrible service standards! your service engineers have ran away with our TV with no update at all for the last 45 days! Call center has no idea! @SamsungIndia #CustomerService #customersatisfaction,,
The most pathetic service and products are of @SamsungIndia #samsungceo worst service Center in noida,,
"Dear @SamsungIndia, after 14 years I decided to buy @SamsungMobile. Within 2-3 days, the screen went black and Screen was replaced under warranty. Replaced Screen is seemingly duplicate. I can smell some fraud here. https://t.co/yGhGeVIYwV",,
@SamsungIndia if you can not provide after sales service to your existing customers then do not launch your new products.,,
"@SamsungIndia #samsungm31 #Samsung
Worst experience with samsung services for the second time. I don't know why everytime people has to pay 5-6k for repairing a device which is in warranty. And the reason is same for both the times. Please look into it.",,
"Dear @Samsung
@SamsungMobile
@SamsungIndia
What the hell is happening with my Samsung Fit E Band. To #BoycottChineseProducts I broke my MI Band 4 (Pics attached for reference) and purchased Samsung Band. If we trust you as a brand, your product should be good not like this. 1/4 https://t.co/4vLF32a6dr",,
@SamsungIndia I have just bought a new note 10 lite on last Friday and its not working properly,,
"@SamsungIndia : From yesterday , I am trying to purchase a television on your site , but no luck. Had a chat with customer care , he said there is some technical issue it will get fixed by morning, tried just now but same issue. WHY SUCH PATHETIC SERVICE ",,
"This is @SamsungIndia's Delivery Speed when you need urgent delivery. It's 15 days I ordered and still waiting and waiting. I think 2020 will get over before I receive my product.
@jagograhakjago https://t.co/PANeoCNYJC",,
"@SamsungIndia I have been sending emails, speaking to customer care, live chat's etc. regarding the status of my order number 11064958882 which was supposed to be delivered by 2nd Aug. I'm not getting any response or update as to when can I expect the del",,
"@Samsung Please look into my matter 
I tweeted about it. Called a lot of times. You guys are not giving any help.
I spend a lot for but s10 and in 3 months it's damaged.
",,
Hi @SamsungIndia. I am still waiting for my coupon against my phn which was dead after just 15 days of use. It's been more than 10 days now &amp; I'm still unaware of the status. Is this the post sales service u give to ur customers &amp; I had the worst experience at the service center. https://t.co/cLefzWB6jz,,
@SamsungIndia will you be launching Samsung galaxy A51 5G soon in India?,,
"Thinking of buying a washing machine? Check out the Samsung Front Load Washing Machine. It not only washes, but also keeps your clothes germ-free. Buy now and you can avail fabulous offers like easy EMIs and attractive cashback. T&amp;C apply. https://t.co/r4eduFOG8E",,
@SamsungIndia just get defected freeze in just 4 years.unable to contact customer care..pls help,,
@SamsungMobile @Samsung @SamsungIndia @SamsungMobileUS https://t.co/sbQz8wvOBY,,
"@SamsungIndia I've always loved Samsung and the new innovations are gonna be awesome 
💥😊😊🤗🤧🥳🥳🙊😻🙀",,
@SamsungIndia please look in to this issue,,
"@SamsungIndia Samsung is designing ""out of the box""",,
@SamsungIndia Samsung galaxy M31s kab launch hoga,,
@SamsungIndia Don't buy they are cheated.. even I will not get any services from them  I bought a phone on 1 of August 2020 and it was a damage one ...,,
"@SamsungIndia @SamsungMobile You just launching the new mobile but you not caring the customer and your service center providing services worse  to customer .
I have visited two service center (they don't have time to attend customer and also don't have d",,
@SamsungIndia why are you not giving Knox security in Galaxy m31s,,
@SamsungIndia can you pls take of your customers....in opera house u hv only one service engineer to attend... waiting since 11:30am....it insane. Shame on you. The rep says you can complaint. God bless the users of samsung...no one to own the problem,,
"@SamsungIndia please improve service center experience, recently I visited one in Pune it's very bad experience",,
"@SamsungIndia you lack credibility, my grievance has not been resolved yet, for being a samsung user since a decade now, i want people to #boycottsamsung 
1160311248 this was my ticket no.",,
"@SamsungIndia @SamsungMobile I loved your last software update ! I am using the Samsung J6 🤗
Easy, Convenient, Optimized.",,
Samsung please solve problem @SamsungIndia https://t.co/wOZ2ZQFMkL,,
"@SamsungIndia hi, how can I order only the remote for my full HD Samsung tv ?
Remote model no. - BN59-1259B
Tv model no. - UA40K5570AULXL https://t.co/CnnW4rDp5k",,
@SamsungIndia why the display is showing like this? Model- Samsung Galaxy J7 Pro https://t.co/mGRbhRsdZT,,
@SamsungIndia I'm using samsung galaxy m21 and the problem i have been facing from a lot of times that is regarding to the battery backup of it's. It's backup like less than 1 day in normal to modrate usage and somehow battery drains faster after the july,,
@SamsungMobile @SamsungIndia Samsung A50 लिये हुये 8 महिने ही हुये है 12 घन्टे मे 2 बार battery charge करनी पद रही है।,,
"@SamsungIndia @SamsungMobileUS @amazonIN @realmemobiles @XiaomiUK @XiaomiIndia 2154988 national cusumer help line  compaint no for samsung galaxy M31
Sir/ madam, my new samsung galaxy M31 which i purchased online from amazone site  on dated  23 June 2020 ",,
Hey @SamsungIndia will OnMax /J7Max get #Android9 pie update?,,
"@SamsungIndia 
@Samsung ,
support.india@samsung.com is valid email? Have not got any response till today.",,
"@SamsungIndia I m a @SamsungMobile user for over 10 years i fail to understand why do i get this half screen tint problem after approx 1 year? It happened in my Note 8, 3 yrs back so i upgrded to note 9 a year ago an this set also has a half screen tint i",,
@SamsungIndia Complaint Reference No.3706094550. 28 days over but still my problem not yet resolved. My case is with customer experience manager now Mr. Sandeep Singh. Worst experience!! Samsung india also not taking any action.,,
"@SamsungIndia 
Love you samsung❤️💜
Photos have the power to capture life's treasured moments. They remind us how we see the world differently and document the everyday. Go capture it with Single Take on #GalaxyS20 Series and experience a whole new ", @SamsungIndia my Galaxy Note 9 is facing weird yellow tint after July Security update. Please help!,
"@SamsungSupport @SamsungMobile #YellowTint""",,
"@SamsungIndia I just get same responses like monitoring the problem in safe mode, resetting the network settings and full reset which I've done and don't want to listen to same responses. There's a serious software or hardware problem with respect to 5Ghz",,
"@SamsungIndia i would like to share our  own experience  with  Samsung service centre, i am very much fed up with your service center staff. they are not providing good services to their customers, they are playing around with our money and we are being h",,
@SamsungIndia One of the best branded company in the world,,
"@SamsungIndia Really Samsung products, models are amazing, I am satisfied with Samsung products it's superb 😍😘",,
@SamsungIndia Using Samsungs  for an year now and love it😍😍😍😍,,
@SamsungIndia Samsung is good ☺,,
@SamsungIndia I love samsung @samsungindia @SamsungMobile https://t.co/U3eFyOPc1v,,
"@SamsungIndia Samsung my 1st love❤️💜
👍👌💐😊☺️😀😄😘😍😇🕺🙏💖💗💝💘💓💕",,
"@SamsungIndia Hello Samsung 
Can you please tell me will I get 4000 instant hdfc cashback when i purchase samsung S10 lite with my student id by exchanging my old phone with new one
Thank You ❤️",,
@SamsungIndia when #GalaxyBudsLive will be available ?,,
"I loved that feature cuz I personally dont love to share my buds or earphones .
I loved it @SamsungIndia #GalaxyUnpacked",,
"I wrote to @SamsungIndia using their website form to ask them if a specific product (a gaming monitor) is available in India. 
While I got a super fast response, it basically told me to talk to the nearest Samsung store to find out. https://t.co/mWN9zfzQla",,
@SamsungIndia Proud samsung user here💜,,
@SamsungIndia Please respond ASAP to my complaint # 4307017558. Its been a MONTH since I started complaining!!!!!,,
Hello @SamsungIndia @SamsungMobile  i have facing lot's of issue with my m30s most of the times my touch is stop working and when I charged my phone it's gets heat up too much.I tried to contact with your customer service but they didn't respond. My phone is under warranty,,
@SamsungNewsIN @SamsungNewsIN @SamsungIndia @SamsungMobile . When will the sales of TabS7 and TabS7+ happen to India??,,
@SamsungIndia @Samsung @SamsungSupport PROBLEM! Samsung LED got damaged on 16 Jul 20 and call raised with Service Centre on same day. Its 19 days but no repair done even in unlock phase. Engineer waiting for parts to arrive which is frustrating.,,
@SamsungMobile @SamsungIndia My god ......mobile is verry verry verry good,,
"@SamsungMobile @SamsungIndia Visit 5-6 times to Noida 51 samsung mobile care, 4 replacements of phone screen within 20 days. still facing same issue complain in mobile service center, through samsung helpline and email to samsung helpline. No response rec",,
"@Samsung Disgusting After Sales Service at Cuttack Centre . Just to deny Warranty comes out with false and illogical remarks. Why should anyone purchase your high-end mobile which goes defective within a year. Wake up call  @SamsungMobile , @SamsungIndia ",,
"@SamsungMobile @SamsungIndia @supportosamsung 
Visited 6 times to service center in last 10 days and still mobile is not collected / seen to understand issue
Spoken to customer care team more than 10 times no solution yet https://t.co/sZQCzUOgvy",,
@SamsungIndia it has an absolute ordeal to get services from your Organization . After months of persuasion the Samsung service agency visits to inspect the ac on 27th May and till date no actions has been taken . Pls look into the sane urgently  #Samsung,,
@SamsungIndia 🤗🤗🤗🤗 one of most awaited technology event of the year.😃,,
@SamsungIndia I liked samsung's tab s7+,,
@SamsungIndia S Pen is the super cool. Very useful,,
@SamsungIndia Wow that's great,,
"Seriously! Worstest service of samsung. Have Samsung Note 8. After software update, it is not working properly. I visited twice to service center. They said it’ll cost you 22k, does it make any sense?
It happened by updates why should i pay.
@SamsungMobileME @SamsungIndia",,
"Kindly let us know whether Samsung HW-Q70 Soundbar can deliver Dolby Atmos flawlessly thru HDMI-ARC port with the 49KS7500 Samsung Smart TV? @SamsungIndia 
@SamsungTV Your Customer Service people are not aware of this. They said no information available in the showroom &amp; chat too",,
@SamsungIndia very beautiful samsungindia,,
"@SamsungIndia Ya I'm satisfied with this,
Excellent features of this Samsung Galaxy..",,
@SamsungIndia Love it note series. And spen. 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,,
@SamsungIndia Love the S pen as it's very useful. Love to samsung,,
"@SamsungIndia Z flip is amazing set
😍😍😍😍😍😍😍😍😍😍",,
@SamsungIndia I love Samsung brand. The most trusted brand #GalaxyMoments https://t.co/Gm8N3Nnu2Z,,
@SamsungIndia I like this Samsung india,,
@SamsungIndia And here my phone is not turning up since 13th of july as you guys are out of motherboard according to your service center.Humiliated!,,
@SamsungIndia 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍I love it note series.,,
"@SamsungIndia Love your products, not gonna lie.",,
@SamsungIndia Love this tablet😍😍,,
@SamsungIndia Amazing brand  Samsung.,,
"@SamsungIndia Wow samsung great work .....
Love samsung😘",,
@SamsungIndia Samsung is always the best.,,
@SamsungIndia Big Big fan of Samsung 💛💜,,
@SamsungIndia The best camera i finded in Samsung,,
@SamsungIndia I am loving it,,
@SamsungIndia Beautiful nice amazing hai,,
@SamsungIndia Most valuable brand😎💎,,
@SamsungIndia I super excited for the event. I love Samsung 😊,,
@SamsungIndia Thank you Very Very much for inviting me to the Samsung Unpacked Event 😊👍. I love Samsung 😍😍😍🤩🤩🤩...,,
