,Review,Polarity
11,though many tv options less price preferred chose samsung standard brand product not satisfactorycons sound system good keep reducing volume bgms sounds actual speach fit types home theatre playstore might missed see buying,Positive
12,picture quality good sound great bluetooth connectivity problem bluetooth speakers f sometimes not able transfer audio need delete repair speaker casting good samsung mobile one mi note not able pair one auto backup features good sometimes not run automatically need start manually copy data sometimes copies data multiple times create multiple copies file usb two voice assistants bixby alexa working connected internet android tv google assistant works offline overall tv good price range,Positive
13,best tv rupees brilliant sound output installation easy user interface good expect super fluid interface like android price great great picture quality connect proper hd dish connection superb picture quality great build quality good finishing colour opted grey colour looking pemuim provided remote simple useful featured buttons overall best tv rs big thanks samsung awesome budget tv thing like packaging hope amazon take proper care packaging,Positive
14,good led tv price range first ever review amazon please buy tv like mi motorola vu etc purely chinese made tv like tv purely performs picture sound segment dth well tv outperforms equivalent tv blindly go boots within seconds sd channel looks like hd channels mirroring super fine rest assured require external speaker even sound like home theatre one year additional warranty samsung definetly thwart chinese brands market,Positive
15,inch samsung smart tv complete failure became mute second day waiting week amazon replace refund initially schedulded technician visit aug postponed th return window closes th place contact mail phone call center web site messages confirm receipt customer complaint not even publishing genuine review grievances public benefit feel cheated,Neutral
16,best tv nice purchase good quality specification tizen store applications not available enough purchased rs best price best company alexa working well sound quality best w good enough picture quality awesome clear crispy new model remote,Positive
17,hi amazon samsung tv good excellent picture quality hd channels well sound quality also bluetooth optional available mm audio output jack available availble optical digital output audio tv build quality also good finally loved new series samsung tv voice search television section samsung sony companies top samsung always samsung body wants purchase please go think hesitate thank amazon samsung,Positive
18,big mistake buying amazon arrival th day tv stopped working called samsung engineer visited informed faulty piece asked samsung replace asked us contact bought tv tats amazon contacted amazon denying help furthernever buy electronics amazon,Neutral
19,got defective product display not working installation tried called amazon support samsung support not taking responsibility replace return item,Neutral
20,last write comment regarding first bad experience amazon samsung bought tv last month n remote stopped working days put complain two times n called engineer also came time complaim solved didnt repaire remote still status complain putting repairing completed come lie like irritating n man called engineer came us first telling problem tv asked u remote kindly check said problem remote order u n let u know rubbish didnt got revert repairing remote bitting table illiterate bad behaviour towards thing ehich related somebody,Neutral
21,smart tv samsung affordablenetflix prime zee youtube amazon primetakes bit time boot bluetooth not supported sound quality pictures quality everything goodpaid,Positive
22,good tv price interesting thing works well apple tv,Positive
23,buy samsung tv use amazon online shoppinghere whole experience rather nightmare bought tv brightness issues tv screen dull even max brightness reported amazon arranged tech visit th aug never happened wasted whole day visit rearranged th tech came saw issue agreed restarted updated tv still issue enquired agree issue said yes evening called customer support got info system issue updated tech firm resolved dejected felt cheated many hours calls able get call transferred managers times amazon disconnected call kept sending messages feedback system first visit resolved issue one customer care executives told supposed get report written tech not gave not tell buy product even want buy flipkart samsung amazon degraded quality beware tech company qdigi ones responsible tech visits read reviews know whats funny amzon still letting work,Neutral
24,writing review week usage not fond cable provides many unwanted channels completely wonder entertainment usingwifi connection good preloaded zee netflix youtube else require prompt delivery free installation makes feel happy samsung cos found watt speaker op yes alternate solutions,Positive
25,tv faulty item quality product produces buzzing sound sound stops every hour seller shipped faulty item needs resolved amazon since tv bought amazon com not via samsumg contacted customer support agents not helpful not want file report seller since shipping quality product mins back forth via phone call leadership team amazon filed voice customer form hard wrap head around fact amazon guys shipping quality product supporting sellers making customers run pillar post seller platform amazon stand harassing customers false advertisement amazon guys talk seller matter solved agent not even ready report seller kept telling talk samsung executives amazon not paying heed anything making money fat bonuses false advertisement making customers unhappy fault,Neutral
26,samsung tape samsung tv box doubt original tv received not,Positive
27,goods good picture quality w speaker output good enough mid size room fast installation note wall mount not come box brought installation engineer easy set samsung phone users smart view makes casting screen easy bads call samsung installation not happen default reason less star prime app slow keeping watch shut twice,Positive
28,first made vietnam not china one main reasons chose one tv box comes tv remote stand power cable batteries quick guide march model star energy efficiency ratings remote sleek curved awesome feel using installation happened second day post delivery executive came professional even drill wall ensure room remains dust free executive offers samsung insurance extension years nominal price around year opted ac ko third party tv mind well tizen os not android make sure update tv os get use screen mirroring iphone android sound option tv probably score bit better install smart things app samsung use mobile remote days free trial netflix prime zee also included incase subscription already get extended overall awesome tv buy price range excellent product indeed good value money,Positive
29,picture ok bought vfm good deal sound defective requested replacement replacement not available product returned would satisfied product working delivery experience good,Positive
30,bought one samsung feb good experience months bought one question quality got installed hours receiving another good part service inbuilt alexa got discount wonderful deal,Positive
31,delivery time people come fitting rude ill mannered zero sense timing work say,Neutral
32,usual product received time thanks amazon timely delivery box packaging neat installed bedroom looks sweet purchased voice control version let talk pros cons pros multiple voice recognition options mentioned major ott apps available apps like amazon prime netflix zee apple tv apple music pre installed available apps samsung store disney hotstar google play movies sony liv voot discovery yet plenty apps find useful decent picture quality price free tv wall mount samsung installation technician stylish remote loved way designed plays p videos well p frame dual band wifi ghz cons audio quality average given watt speakers p instead p price slightly higher compared competitors based day usage update,Positive
33,simple middle class man using samsung appliances since decades st tv old crt tv also samsung superb new first smart tv tempted vu mi apprehensive chinese brands went safe choice voice search really useful installation happened day delivery tv stand comes tv wall mount also free comes samsung guy comes home install tv looks good works well initial review update whenever something say,Positive
34,product delivered scheduled date good condition thanks tv wall mount kit not box please let know not sent along tv set,Positive
35,every things matching product description details nice picture quality hdmi cable audio sound quality poor little bit improve auto amplifier mode settings otherwise use bluetooth speaker hdmi arc audio tether system external speaker settopbox stb use personal computer wirelessly time delay lagging value money still still working hope work long time suggestion give rest minutes used long time day dated,Neutral
36,product received defective one sound coming tv picture quality good smart features expected good ordered sep delivered sep technician came sep found sound not coming tv tried reset settings factory reset settings still problem persisted suggested options samsung open tv rectify error returnas brand new tv thought return put request return amazon customer care contacted said amazon technician would visit gives report consider replacement ordered inspection service scheduled sep th morning received message inspection service order canceled today ie sep put return request amazon customer care called explained everything said put inspection order scheduled sep hope comes surprise purchasing online since many years product like tv defective onedidn expect hope rectified soonthe technician visited th sep customer care person contacted said tv replaced th sep said person bring new tv takes back defected one got replacement th got fitted th sep price picture quality sound quality good smart features good tv adaptive display like mobile satisfied product,Positive
37,picture sound connectivity model awesome price delivery delayed week due lockdown amazon robust communication mechanism informed shipment status wall mounted tv next day delivery samsung engineer found prompt response without extra charges must buy tv price well ahead compared chinese tv overall quality one remote good voice recognition dolby music system lag free performance easy user interface unique features samsung wondertainment tv afterall brand brand quality matters,Positive
38,absolutely horrible tv please not buy defective product delivered blurry display flickering lines screen times also refund process big headache constantly touch samsung giving job sheet required amazon initiate refund also even telling amazon giving proof form videos not initiate refund made regular customer suffer,Negative
39,writing review month major points know product pro best display price range support mazor application like youtube hotstar netflix amazon prime jiocinema etc non chinese product superb remote voice assistant bixby alexa fast os better mid range android tv cons jio tv application not supported sound quality average,Positive
40,good choice proce range getting samsung better mi chinese brands,Positive
41,pros good picture quality w speaker sound also good easily connected bluetooth devises usb port working well format issue pendrive issue wifi connection even connecting mobile hotspot good quick installation service samsungcons not android tv cannot download app like vlc media player help us play video different format voice recognition needs improvement however tube app works perfectly,Positive
42,tv good price picture quality excellent smart connectivity also good sound sufficient clear ft room volume enough,Positive
43,tv stopped working within days amazon ppl happy not assisting return policy expired contacted samsung say motherboard problem raise amazon pathetic buying lot products amazon not,Neutral
44,researching months placed order v voice quality superb display colours soothing not irritating eyes wifi router placed little far still videos run without buffering high quality looking inch smart tv undoubtedly go customer service relief know query would handled brands buying tried contacting normal query buy either available interest ansering samsung customer service par excellwnce,Positive
45,little apprehensive delivery delhivery quite infamous delight delivered perfect condition installation quick even using sd dish tv works well blur sound good medium sized room smart things app pretty handy case remote away lazy p absolutely love tune station showcase mode cons tv takes like mins start first starts happen later voice recognition provide much use advantage data saver mode tv not consuming lot data alright overall tv absolutely worth,Positive
46,well get better tv price range picture clarity good gets p screens need change couple settings starts fresh rest fine sony bravia p sony better every segment comes p resolution plus bravia engine samsung well designed offers good enough package compared sony sound great well tizen os smooth gives great experience problem get many apps choices less amazon firestick offers apps know remote comes tv not everyone possibly types remotes circular button less buttons got many buttons buttons small hassle type believe get irritated use remote night lights control tv somewhat mobile app samsung provides pretty nice ui well developed change apps close volume control tv control inside app built quality good parts tough samsung provide installation free cost wall mount conclude go want smart tv made india vietnam,Positive
47,product good led tv wall hangings items find box,Positive
48,first time bought tv defective problem display amazon knowledged problem immediately refunded tv came back stock ordered installation happened day picture quality really good love features price point personally feel best tv price point,Positive
49,really loved screen mirroring awesome watch tube prime zee netflix hotstar check usb overall good product bought delivery period took days except remaining everything good,Positive
50,verry bad exp purchasing retrun product back amazon today two days instalation tv screen blincking,Negative
51,amazing hd tv included smart features picture quality awasome dolbi digital plus music system great also price reliable sagement perfect tv latest brand new features easily cannect bluetooth cast screen wifi order tv sunday came wednesday time time perfect delivery amazon installed tv help user manual samsung guide also request samsung installation executive instructions regarding tv features thank amazon,Positive
52,perfect durable quality provided samsung picture quality smart feature best onl one thing wrong product description google assistance feature mode shows voice command assistance actually wrong two one samsung system another one alexa wise information matched actual product price tv worth buy,Positive
53,good tv price features,Positive
54,awesome tv good connectivity supports iphone screen mirror box satisfied looking inch smart tv close eye buy model second thoughts remote tv used control devices connected,Positive
55,bought aug stoped working week till respond properly unable repair replace pathetic service samsungworst product not even work days,Negative
56,not expected samsung tv stopped working within days top raised service ticket samsung one contacted weeks technician visited week said replace motherboard inform part available next week ticket closed without informing closed saying successfully repaired tv quality checks passed not trust samsung products service bad experience think twice buying amazon second order cancelled without intimation,Neutral
57,quality product samsung installation service goo,Neutral
58,using last daysnice picture qualitysound goodsupports many ott apps youtube netflix sony liv hotstar amazon prime voot zee many morealso support phone casting bluetooth wifi,Positive
59,till installation nice opened microsoft white screen saw something moving cockroach moving screen tv technician samsung told replacement amazon not providing replacement even called four hours installation,Positive
60,expected lot quality samsung using month problem display line zig zag appearing screen request replacement repair earliest,Neutral
61,thanks much samsung amazon picture quality really awesome watch hd channels picture quality good sd channels also sound quality also good really happy buy product reasonable price suggest best product looking buy range,Positive
62,horrible tv horrible customer service amazon tv app store single video player play movies pen drive bluetooth connectivity name sake sound distorted tried bluetooth devices cannot connect sound bar option coaxial cable tv also tv speaker sound cracks high volume want different brand tv price turns even not option never order anything amazon hence forth u sell used items,Neutral
63,awesome product price segment fast easy operate amazon team also great far product delivery costumer service concerned,Positive
64,using week bought prime day sale delivery per schedule installed samsung team next day would complete package series atleast fhd ips panel though dled hd panel pic enhanced pur clour samsung otherwise would washed previous yr old samsung led tv fhd ips panel disappointed front,Negative
65,writing review days use product quality best quality segment not cheep plastic bad design remote actually quality feels premium hand picture quality significant part actually impressive bright accurate colors good contrasts dynamic color mode damn hot sound quality not like boom blast dolby atmos dts come dolby digital not bad high volume not ruffled sounds amplifier mode kind movie theatre features bluetooth connect phone play music directly opens tune tv thats convenient used screen mirroring install apps performance sometimes get lag remote controlling navigate take opening app not totally bad full laggy performance like cheep brand chinese requested installation demo service man still not days used table top taken permission open tv box samsung,Positive
66,tv show flow line display viewing angle whitish spoting display similarity display please replacement,Neutral
67,issues television shell rs flexy wall mount told paid product agree one comes free tv fixed mounted cannot moved different angles requested flexy mount charged price mentioned without bill told bill not given services would issue,Neutral
68,good product every thing works fineordered july received product july demo july good picture quality sound could better airplay works fine connect mobile digital audio mm outputalexa works fine google assistant get software updateoverall good product go,Positive
69,duplicate pieces sent confirmed samsung amazon technician motherboard got short circuit within days quick installation done amazon not recommend thanks amazon refunds took weeks complete process,Positive
70,received tv place however not use days still one arrived install samsung told install warranty void plus calls samsung still promise send guy installation breaks everytime even amazon help pathetic service dont tv amazon dont want get frustrated,Negative
71,product superb excellent comparing features brands personally couple friends purchased brands performance extra ordinary screen mirror connectivity picture clarity smart features everything superb satisfied performance product,Positive
72,writing review month overall experience good regarding samsung tv excellent picture quality good audio little disappointed performance apps laggy interface apps played smooth however samsung roll updates fix see google assistant tho written box google assistant overall good,Positive
73,resolution cool pretty v hd also bixby alexa assistant v contains hdmi ports usb port connected wireless connection wifi antenna cable connection bluetooth connection v mounted wall installation done samsung company free cost require lot patience v takes kwh year unplug main dc source save would conclude experience v worth cost really mark hope covered questions,Positive
74,picture quality good sound quality little disturbing goes low times shoots high need maintain volume hearing movie dialogues immediate background music u need come back volume short word keep remote handy everytime,Neutral
75,probably best inch smart tv excellent picture quality instant response bluetooth remote works flawlessly loved live cast feature samsung experienced work u trying cast live streaming picture quality brilliant samsung let department prime video works smoothly voice assistance good improved via update one best feature tv comes remote universal use another remote setup box update review month use,Positive
76,great tv price loved features remote connectivity awesome tizen os wonderful,Positive
77,writing review week using product hv seen picture quality sound quality r superb tell u price best quality smart tv im using right pitty satisfied quality product recommend tv everyone r luking k budget give star rating product,Positive
78,poor sound quality picture not recommended cable,Neutral
79,awesome tv price good picture quality good features good sound good remote fast boot picture quality index voice search good love,Positive
80,amazing tv k features far exceed price plus samsung assured premium brand strong sales service network need firestick watch amazon prime netflix flick tv remote,Positive
81,guys please dont get confused smart tv subject please thought smart tv android based samsung tvs work tizen os doesnt provide external apk installation like jio tv etc please aware mi tvs android certified tvs please prefer rather samsung tvs,Neutral
82,got tv good condition installation service really poor got tv th july called times still not done giving false hope last time called told cancelled rescheduled really frustrating please samsung improve installation service,Negative
83,good vedio qualitybut got faulty product wifi not working called samsung customer care propore response go product even samsung wont bother buy product waste money,Positive
84,best price range got citi bank tv good tizen os gives around gb space apps voice commands best supports alexa bizbycoming delivery took almost days delivered delhivery literally thrown tv upside road never trust delhivery dont care products delivering,Positive
85,best screen quality experience super smart fast working remote issues voice recognition assistant doesnt google assistant bixby amazon alexa available bixby useful amazon alexa waste dont amazon smart speaker home although super experience high quality feel difference k rs samsung hd ready samsung phone apple device best smart tv buy smart home,Positive
86,received product th july installation happen th july first impression review quality picture pretty good sound output sufficient per size tv features yet explored overall product well positioned capture market competitive pricing worth buying,Positive
87,best part tv sound quality picture quality also good easy switch tv ott smart features work smoothly voice recognition fair like made samsung account run apps otherwise best range one thing design remote impressive,Positive
88,product beyond category cons like bixby recognizes sentence word results wrong search picture sound quality also not bad per price best buy budget minded customers,Positive
89,picture sound quality good tv suddenly stopped working weeeks,Positive
90,bought samsung inches wondertainment series smart tv amazon suprb purchase delivery good got product days time also felt service samsung also good really supportive helped clarify doubts since using smart tv first time picture quality sound quality recognition good price product satisfied continue shopping,Positive
91,tv fixed smart features picture quality voice recognition good however require internet connection work wi fi far using wifi not stable goes wifi not strong also channels need dth connection,Neutral
92,totally satisfied product sound output sufficient display good bluetooth technology works perfectly one connect samsung tv bluetooth device like spekaers mobile headphones offline mirror screening performance really great loved samsung tv thankyou amazon thankyou samsung,Positive
93,two months since purchased tv delivery amazon super fast pros budget friendly loaded every smart feature voice remote watt speaker better predecessor consumes less internet running apps con screen casting lags sometimes may due slow internet connection samsung store fewer appsoverall best smart tv range,Neutral
94,absolute value money delivered days installed samsung day tizen ui fluidic get gb rom sound quality exceeding expectations price point par tv k price range doubt question regarding picture quality samsung pioneering department product absolute value money,Positive
95,screen goodapps ott platform apps available based tizen os limitationsports useful amount portsaudio goodgood rated based fact budget product not compared premium products,Positive
96,samsung released v good tv inches value money best display best sound good smart tv,Positive
97,product issue playing applications built please waste money want stream applications prime youtube netflix model issue hard time samsung service guys amazon well returned tv attached video shows repeating video streaming issue,Negative
98,good product installed came know bluetooth feature not mean nowadays common smart devices ok compromised major problem without voice control remote difficult handle youtube internet prime video etc telling r buying tht tv plz go voice enabled remote tht tv except performance good,Neutral
99,tv purchased not working bought months also tried contacting customer care response till,Neutral
100,voice recognition not available app application due trizen os whatsapp google meet firefox google chrome microsoft explorer nothing works,Negative
101,working product great bought tv first week august within days tv basically went kaput got company technician check tv said problem part tv returned got refund expect poor make samsung,Positive
102,bought days ago samsung definately reduced quality tv see black line screen quiet often light weight easy carry far good lets see hows works,Positive
103,price point balance features picture quality great tv timely delivered mounted day delivery thanks seller amazon prompt service requests post delivery,Positive
104,worst ever experience amazon took weeks deliver product days past product yet installed thinking mistake buying samsung product bought reliance digital lg product done samsung,Negative
105,per price smart tv offered definitely good deal picture quality good sound amazing normal size room use external speaker commonly used applications available like netflix amazon prime zee hotstar apple tv etc connectivity features good,Positive
106,features good people looking good smart tv budget go satisfy expectations compare,Positive
107,rd class service amazon well samsung month bought tv not working properly voice company person came repaired times isaue next day definitely manufacturing defect refusing change tv poor service amazon samsung,Neutral
108,not allowed download apps get prime netflix zee youtube built applications not promised applications given picture quality worse audio quality great facing issues casting laptop tv worked fine st day main purpose pf buying tv casting not served,Positive
109,absolutely disgusted level support provided samsung days purchase product still not installed support non existent totally un responsive still warranty starts purchase date,Negative
110,smart features like wisenetflix prime video zee youtube not working directly tv remote picture quality hd super fine voice quality hd mode not clear feel voice echoing voice recognition function not working,Neutral
111,nice smart tv everything good except absence direct connection sound system sound system connected via bluetooth able cast mobile screen also like tv much,Positive
112,crappy product refused switch nd day usgae avoid particular model costs not sure samsung using crappy transformer low cost power circuitry,Neutral
113,affordable smart tv samsung netflix prime zee youtube morepaid,Positive
114,budget smart features excellent not tried voice recognition picture quality meets hd standard overall definitely meets expectations always happy shop amazon,Positive
115,could not install tv time return,Neutral
116,not fulfilled expectation picture quality satisfactory not good voice recognition poor usb support multiformat ui not smooth samsung tv spend another better go sony inch hd non smart tv buy tv stick separately way better others,Neutral
117,bought rs picture quality fine audio quality also good slim looks stylish colour quality also well sd channels also give hd feelinginstallation free cost took days delivery due holidays,Positive
118,happy tv smart features good picture quality audio system excellent expected alexa voice recognition good satisfied,Positive
119,overall tv good get brand satisfaction samsung people looks picture quality nice wont say excellent satisfying voice recognition feature better updates otherwise totally buy regret,Positive
120,good picture quality prime netflix youtube zee preinstalled sound could better still better many tv price range,Positive
121,best product price range lots useful features best part screen mirroring sound quality television satisfied product thanks samsung thanks amazon great product need,Positive
122,bad experience samsung installation one came wall stand given know avail netflix month subscription offer bad experience samsung installation,Negative
123,like brand delay installation support not even single call received samsung team recheck buying,Neutral
124,picture quality sound quality good samsung service engineer not given visit place installation remind several times,Positive
125,sound not working product items already open got second hand product battery also put remote,Neutral
126,cons sound quality not clear fan running hear voices clearly problem year old samsung inch series model tv well kindly improve pros picture quality good smart features works well,Positive
127,got faulty product hdmi port not working not getting response neither samsung amazon one biggest mistake choose samsung various brand,Neutral
128,awesome tv range picture quality sound quality good u looking purchase tv range go best samsung delivery also time installation next day,Positive
129,received tv yesterday got installation done today service samsung guy awesome really enjoying features tv awesome product sounds picture quality awesome price range ifyou getting samsung price range trust really worth value money,Positive
130,excellent picture quality excellent sound excellent looks quality product,Positive
131,obviously brand product fullfilled purpose without compromise quality great smart tv samsung good price,Positive
132,tv received damaged motherboard issue per engineer please replace,Neutral
133,smart buy smart price obe thing need highlight hear eligible icici bank debit card emi offer flat rs emi get offer payment getting decline hence miss offer,Neutral
134,poor response amazon got defective product asked replacement product th august till thier technician not visited inspection,Negative
135,best tv seen good product samsung tell use bixby voice assistant better amazon alexa,Positive
136,remote mic not working properly google assistant installation delivery good,Neutral
137,tv awesome smart features picture quality super cool sound output little low need attach bluetooth speakers get better sound output,Positive
138,recived tv th august report samsung installation th august samsung not complete installation days samsung service bad,Negative
139,first samsung brand purchase reviews using months sound best business picture perfect bluetooth decent tizen store supports almost apps like playstore voice assistant loving bixby,Positive
140,sound picture quality amazing voice search not working demo person knowledge tv features irritating service worst,Neutral
141,bought product amazon sale worth price saler wrongly mentioned bluetooth every information correct nice product awesome sournd quality apps available,Positive
142,good quality picture sound samsung rep installed tv next day delivery amazon good service,Positive
143,good quality tv excellent picture quality remote control also controlled voice sound quality also good install apps choice like hotstar drawback apps choice limited,Positive
144,good product budget range quality sound ok got free installation samsung delivery,Positive
145,television good necessary features voice enabled remote good picture quality also nice good value money,Positive
146,price buy mi inch android tv buy samsung plz establish companies india sell everywhere make india,Neutral
147,low weight high tech superb outlook sound quality little less picture quality good price range,Positive
148,overall good tv deliver seal package good small room quality doubt samsung focus tv received faulty remote control samsung service center replaced hope good,Positive
149,overall good smart tv price point bluetooth voice assistant sound quality decent picture quality awesome samsung one best tv company go never disappointed,Positive
150,extra app download except pre installed appsmart features not available install extra app except pre installed app unabe download jio tv app,Neutral
151,expected good tv got k smart features easy operate,Positive
152,good product order damaged easily replacement think support p resolution see p resolution good samsung products colours good suggested price gpod product thanks samsung team,Positive
153,best model one go without second thought almost smart features boxed one smart remote voice assistants built easy sharing mobiles many sound quality awesome dolby atmos output second thought buy stars,Positive
154,samsung service bad called many times installation take dtails snail pace invariably line disconnected,Neutral
155,picture quality voice recognition excellent prompt delivery good care damages highly satisfied,Positive
156,voice recognition feature not upto mark wall mount kit provided box,Neutral
157,quality superb nd sound good installation done day delivery comparison samsung brand chinese tv,Positive
158,delivery ahead schedule prompt installation samsung team due onam festivity special warranty additional two years samsung extends products company installing request share approved warranty users,Neutral
159,good picture quality easy use remote functions clear sound quality good product price range trust samsung also prompt efficient safe quick delivery amazon,Positive
160,product really incredible smart tv high quality visuals great sound quality also use desktop pc connecting cables connection phone easy overall smart tv easy access would love,Positive
161,altough tv good samsung not coperate also amazon cos brought telivision almost days still didnt get samsung intallation technician complaint times still given fake promises dissatisfy,Neutral
162,tv working amazing value money missing things apps tvf play mx players discovery not supported althoug watch viewing tv internet good product otherwise nice,Positive
163,writting review month usageaverage sound qualitypicture clarity goodscreen sharing excellentcan use personal computeronly thing dont like tv inchesonly one usb port,Positive
164,days stopped working company representative last days saying take time get repaired totally disappointed,Negative
165,comments love omg speed service amazon samsung get product delivered today installation done pm within hr super speed service forgot android tv best class strongly recommend,Positive
166,picture quality good value money top buying branded product smart tv range steal go,Positive
167,delivered time installations day overall performance tv also good,Positive
168,totally value money smart tv limitation not android ott apps not available,Neutral
169,tv nice build quality also good picture quality also nice work fully smart way samsung best tv budget price also nice voice recognition also good work fast sound quality wow good lovely tv,Positive
170,gud tv features gud specially love remote smart remote,Neutral
171,working good screen casting superb excellent working condition good sound picture quality price thanks samsung,Positive
172,purchased smart tv th september best product samsung happy one smart features apps personal computer etc best voice video qaulity connectivity also best thanks amazon thanks samsung,Positive
173,wonderful smart tv good picture good sound good connectivity,Positive
174,unbelievable service amazon samsung ordered tv th july pm received th july pm get installed within hour samsung engineer amazing service sound quality good clear loud sound,Positive
175,month writing review switch tv flickering green yellow lines coming tv slowly screen quality degrading not gud quality like old samsung tv,Neutral
176,purchased samsung smart tv month satisfy productsound quality awesome dolby soundpicture quality goodwith price great productgood experience,Positive
177,tv amazing guys really really love remote tv features tv not get mi realme oneplus tvs sound mind blowing sony home theatre home need,Positive
178,terrific picture quality clear sound samsung always best best ever brand new happy,Positive
179,amazing product good picture quality good sound drawback view mobile full screen comes small tv screen else good product star,Positive
180,great tv fantastic audio well video quality feature loaded tv samsung nominal price love tv,Positive
181,tv good amazon service poor,Neutral
182,overall good product bluetooth connectivity problem occurs times gud,Positive
183,best picture qualitybest sound qualityalexa alsobest remote one touch,Positive
184,awasome product price go sound picture quality good smart features also good good wifi enjoy,Positive
185,simply worth every rupee samsung much surprise ui good tyzen hope get regular updates unlike samsung phones picture sound excellent,Positive
186,nice product overall good experience got best price thanks amazon,Positive
187,great product really appreciable good sound quality picture quality etc everything osmmm must buy great product u r reading gonna buy suggest go blindly,Positive
188,one came installation even contacting amazon customer care waited almost days opening box since told delivery installation guy attend stamp warranty card,Neutral
189,one week delivery nobody call samsung installation bad service samsung expect samsung,Negative
190,excellent samsung product budget thanks amazon purchased th july th june instalation completed good product delivery well amazon good offerrs provide amazon thanks much,Positive
191,loved works great one best android tv,Positive
192,good product samsung excellent delivery amazon,Positive
193,purchased samsung inch led tv completing days suddenly turned given service request technician visited said mother board issue really disappointed,Negative
194,good buy satisfied product sound quality surprising battery bahubali overall good need hesitate go personal opinion,Positive
195,picture sound quality good lacks auto audio equalisier also lacks broadcasting live telecast therefore star,Positive
196,installation samsung amazon company,Neutral
197,smart tv wonderful smart options given voice assistants good speakers display etc except microsoft not supported watch planning buy microsoft teams,Positive
198,totally fine picture quality good sound also good smart features brilliant voice recognition okay not good reasonable price great featured tv,Positive
199,u want go trusted nonchina compny samsung always best nyc sound easy installment nyc fuction alll tv screen fully open little edge designalbe,Positive
200,value money best smart tv low budget,Positive
201,got cracked product tried reach customer care not able get proper resolution even correct address tele executive said address not available time,Negative
202,smart features amazing easily accessible best thing play music screen picture quality best ever voice good full volume works boofer best smart tv ever,Positive
203,fantastic tvgo updating review months tv functioning still slow even software update picture sound quality awesome yet get google assistant,Positive
204,every thing good sound quality not good adjust every channel website,Positive
205,product delivery good installation delay request amazon take initiativeness installation work means sent customer details samsung care contact customer,Positive
206,received heavily damaged screen,Negative
207,sound good alexa works little delayed picture quality per price,Positive
208,buy one day working second day suddenly sound tv tv dead replace body support cheeting seller duplicate product beware,Neutral
209,happy product thank samsung,Positive
210,good product though smart function not expected overall good,Positive
211,fantastic product realy enjoyed product best budget superb,Positive
212,received default products product not pictures sound,Positive
213,best smart tv india price k hdr picture dolby digital sound personal computer home theatre everything need voice command amazing tv bought amazon tv beat,Positive
214,value money excellent features,Positive
215,good international brand gives satisfaction access features seamlessly,Positive
216,caution dont buy got inch damaged lg tv,Neutral
217,best quality picture voice also bluetooth connectivity good budget good smart tv highly recommend,Positive
218,great features along premium quality samsungthe one remote feature voice recognition great impressive screen sharing feature equally wonderful,Positive
219,samsung not call installation even hours call people installation pay extra nobody samsung responded toll free number given,Positive
